Weekday,datum,Year,Month,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,M01AB_s_sod,M01AB_s_eod,M01AE_s_sod,M01AE_s_eod,N02BA_s_sod,N02BA_s_eod,N02BE_s_sod,N02BE_s_eod,N05B_s_sod,N05B_s_eod,N05C_s_sod,N05C_s_eod,R03_s_sod,R03_s_eod,R06_s_sod,R06_s_eod
Monday,3/28/2016,2016,3,3.34,2.34,1.7,24.6,20,0,4,4.5,74.575,71.235,38.1436875,35.8036875,86.0035,84.3035,494.762125,470.162125,110.9375,90.9375,8.375,8.375,137.75,133.75,68.6425,64.1425
Tuesday,3/29/2016,2016,3,5.68,1.33,3.2,36.2,4,0,12,1,71.235,65.555,35.8036875,34.4736875,84.3035,81.1035,470.162125,433.962125,90.9375,86.9375,8.375,8.375,133.75,121.75,64.1425,63.1425
Wednesday,3/30/2016,2016,3,7.16,2.68,7.4,22.2,3,0,12,5,65.555,58.395,34.4736875,31.7936875,81.1035,73.7035,433.962125,411.762125,86.9375,83.9375,8.375,8.375,121.75,109.75,63.1425,58.1425
Thursday,3/31/2016,2016,3,2.33,8.68,2.9,31.25,1,0,5,5,58.395,56.065,31.7936875,23.1136875,73.7035,70.8035,411.762125,380.512125,83.9375,82.9375,8.375,8.375,109.75,104.75,58.1425,53.1425
Friday,4/1/2016,2016,4,6.33,3.01,2.7,50.4,4,0,16,10.5,56.065,49.735,23.1136875,20.1036875,70.8035,68.1035,380.512125,330.112125,82.9375,78.9375,8.375,8.375,104.75,88.75,53.1425,42.6425
Saturday,4/2/2016,2016,4,3.67,2,7,32.3,4,0,19,7.4,49.735,46.065,20.1036875,18.1036875,68.1035,61.1035,330.112125,297.812125,78.9375,74.9375,8.375,8.375,88.75,69.75,42.6425,35.2425
Sunday,4/3/2016,2016,4,9.67,7.396,5.3,73.5,5,0,6,11,114.065,104.395,69.1036875,61.7076875,61.1035,55.8035,678.812125,605.312125,74.9375,69.9375,8.375,8.375,178.75,172.75,116.2425,105.2425
Monday,4/4/2016,2016,4,7,5.231,5,21.6,3,1,11,2,104.395,97.395,61.7076875,56.4766875,55.8035,50.8035,605.312125,583.712125,69.9375,66.9375,8.375,7.375,172.75,161.75,105.2425,103.2425
Tuesday,4/5/2016,2016,4,6,5.33,4,40.3,5,1,11,12,97.395,91.395,56.4766875,51.1466875,50.8035,46.8035,583.712125,543.412125,66.9375,61.9375,7.375,6.375,161.75,150.75,103.2425,91.2425
Wednesday,4/6/2016,2016,4,6.66,5.363,2,15.25,7,0,6,3,91.395,84.735,51.1466875,45.7836875,46.8035,44.8035,543.412125,528.162125,61.9375,54.9375,6.375,6.375,150.75,144.75,91.2425,88.2425
Thursday,4/7/2016,2016,4,6.33,5.98,4,21,7,2,4,8.2,84.735,78.405,45.7836875,39.8036875,44.8035,40.8035,528.162125,507.162125,54.9375,47.9375,6.375,4.375,144.75,140.75,88.2425,80.0425
Friday,4/8/2016,2016,4,7.67,3.66,5,42.3,2,1,3,4.4,78.405,70.735,39.8036875,36.1436875,40.8035,35.8035,507.162125,464.862125,47.9375,45.9375,4.375,3.375,140.75,137.75,80.0425,75.6425
Saturday,4/9/2016,2016,4,9,9.01,3.1,38.8,7,0,14,3,70.735,61.735,36.1436875,27.1336875,35.8035,32.7035,464.862125,426.062125,45.9375,38.9375,3.375,3.375,137.75,123.75,75.6425,72.6425
Sunday,4/10/2016,2016,4,5,6.67,5.15,21.4,4,1,11,8,61.735,56.735,78.1336875,71.4636875,82.7035,77.5535,426.062125,404.662125,149.9375,145.9375,10.375,9.375,123.75,112.75,72.6425,64.6425
Monday,4/11/2016,2016,4,0.33,4.99,3,26,11,2,17,6,56.735,56.405,71.4636875,66.4736875,77.5535,74.5535,404.662125,378.662125,145.9375,134.9375,9.375,7.375,112.75,95.75,64.6425,58.6425
Tuesday,4/12/2016,2016,4,4.34,4.65,6,41.6,19,1,2,5,56.405,52.065,66.4736875,61.8236875,74.5535,68.5535,378.662125,337.062125,134.9375,115.9375,7.375,6.375,95.75,93.75,58.6425,53.6425
Wednesday,4/13/2016,2016,4,6.33,3.066,3,34,22.33333333,0,2,3,52.065,45.735,61.8236875,58.7576875,68.5535,65.5535,337.062125,303.062125,115.9375,93.60416667,6.375,6.375,93.75,91.75,53.6425,50.6425
Thursday,4/14/2016,2016,4,2.66,2.32,8.5,44.225,9,0,4,6,45.735,43.075,58.7576875,56.4376875,65.5535,57.0535,303.062125,258.837125,93.60416667,84.60416667,6.375,6.375,91.75,87.75,50.6425,44.6425
Friday,4/15/2016,2016,4,4.33,3.056,2.7,23.6,6,0,10,4.2,43.075,38.745,56.4376875,53.3816875,57.0535,54.3535,258.837125,235.237125,84.60416667,78.60416667,6.375,6.375,87.75,77.75,44.6425,40.4425
Saturday,4/16/2016,2016,4,5.34,6.66,5.3,33,11,0,8,8.5,38.745,33.405,53.3816875,46.7216875,54.3535,49.0535,235.237125,202.237125,78.60416667,67.60416667,6.375,6.375,77.75,69.75,40.4425,31.9425
Sunday,4/17/2016,2016,4,4.33,8.175,3,52.8,2,0,7,7.2,33.405,29.075,46.7216875,38.5466875,49.0535,46.0535,493.237125,440.437125,154.6041667,152.6041667,18.375,18.375,69.75,62.75,85.9425,78.7425
Monday,4/18/2016,2016,4,3.66,2,5,22.1,15,3,7,7,29.075,25.415,38.5466875,36.5466875,46.0535,41.0535,440.437125,418.337125,152.6041667,137.6041667,18.375,15.375,62.75,55.75,78.7425,71.7425
Tuesday,4/19/2016,2016,4,3,1.34,8.3,24.3,7,0,6,4,25.415,22.415,36.5466875,35.2066875,41.0535,32.7535,418.337125,394.037125,137.6041667,130.6041667,15.375,15.375,55.75,49.75,71.7425,67.7425
Wednesday,4/20/2016,2016,4,2.66,3.33,2.4,17.1,11,5,15,3,22.415,19.755,35.2066875,31.8766875,32.7535,30.3535,394.037125,376.937125,130.6041667,119.6041667,15.375,10.375,49.75,34.75,67.7425,64.7425
Thursday,4/21/2016,2016,4,3,3.464,3,21.6,6,0,0,2.3,19.755,16.755,31.8766875,28.4126875,30.3535,27.3535,376.937125,355.337125,119.6041667,113.6041667,10.375,10.375,34.75,34.75,64.7425,62.4425
Friday,4/22/2016,2016,4,6,5.67,4,21.9,4,0,6,1,16.755,10.755,28.4126875,22.7426875,27.3535,23.3535,355.337125,333.437125,113.6041667,109.6041667,10.375,10.375,34.75,28.75,62.4425,61.4425
Saturday,4/23/2016,2016,4,10,3.69,8,33.2,8,0,0,4.5,10.755,0.755,22.7426875,19.0526875,23.3535,15.3535,333.437125,300.237125,109.6041667,101.6041667,10.375,10.375,28.75,28.75,61.4425,56.9425
Sunday,4/24/2016,2016,4,1,6.66,5.5,36.95,3,0,6,5,58.755,57.755,73.0526875,66.3926875,82.3535,76.8535,300.237125,263.287125,249.6041667,246.6041667,10.375,10.375,80.75,74.75,56.9425,51.9425
Monday,4/25/2016,2016,4,6.67,1.66,7.25,21.7,20,1,3,2.5,57.755,51.085,66.3926875,64.7326875,76.8535,69.6035,263.287125,241.587125,246.6041667,226.6041667,10.375,9.375,74.75,71.75,51.9425,49.4425
Tuesday,4/26/2016,2016,4,5.33,4.99,7,27.2,19,0,7,2,51.085,45.755,64.7326875,59.7426875,69.6035,62.6035,241.587125,214.387125,226.6041667,207.6041667,9.375,9.375,71.75,64.75,49.4425,47.4425
Wednesday,4/27/2016,2016,4,5.66,7.495,7,47.4,27,0,1,2,45.755,40.095,59.7426875,52.2476875,62.6035,55.6035,214.387125,166.987125,207.6041667,180.6041667,9.375,9.375,64.75,63.75,47.4425,45.4425
Thursday,4/28/2016,2016,4,4.66,6.34,6,28,17.66666667,0,12,12,40.095,35.435,52.2476875,45.9076875,55.6035,49.6035,166.987125,138.987125,180.6041667,162.9375,9.375,9.375,63.75,51.75,45.4425,33.4425
Friday,4/29/2016,2016,4,6.66,3,2.5,37,15,0,1,3.2,35.435,28.775,45.9076875,42.9076875,49.6035,47.1035,138.987125,101.987125,162.9375,147.9375,9.375,9.375,51.75,50.75,33.4425,30.2425
Saturday,4/30/2016,2016,4,9.66,10.32,7,47.812,11,0,1,4.5,28.775,19.115,42.9076875,32.5876875,47.1035,40.1035,101.987125,54.175125,147.9375,136.9375,9.375,9.375,50.75,49.75,30.2425,25.7425
Sunday,5/1/2016,2016,5,0,0,0,0,0,0,0,0,76.115,76.115,32.5876875,32.5876875,40.1035,40.1035,385.175125,385.175125,136.9375,136.9375,9.375,9.375,49.75,49.75,25.7425,25.7425
Monday,5/2/2016,2016,5,4,1.02,1,39.2,7,0,5,2,76.115,72.115,32.5876875,31.5676875,40.1035,39.1035,385.175125,345.975125,136.9375,129.9375,9.375,9.375,49.75,44.75,25.7425,23.7425
Tuesday,5/3/2016,2016,5,6.33,5.99,3,23.9,3,0,0,2,72.115,65.785,31.5676875,25.5776875,39.1035,36.1035,345.975125,322.075125,129.9375,126.9375,9.375,9.375,44.75,44.75,23.7425,21.7425
Wednesday,5/4/2016,2016,5,7.34,3,5,32.2,4,0,1,2,65.785,58.445,25.5776875,22.5776875,36.1035,31.1035,322.075125,289.875125,126.9375,122.9375,9.375,9.375,44.75,43.75,21.7425,19.7425
Thursday,5/5/2016,2016,5,4.66,3,6,41,16,3,1,2,58.445,53.785,22.5776875,19.5776875,31.1035,25.1035,289.875125,248.875125,122.9375,106.9375,9.375,6.375,43.75,42.75,19.7425,17.7425
Friday,5/6/2016,2016,5,4,2.99,1,33.6,7,0,1,3,53.785,49.785,19.5776875,16.5876875,25.1035,24.1035,248.875125,215.275125,106.9375,99.9375,6.375,6.375,42.75,41.75,17.7425,14.7425
Saturday,5/7/2016,2016,5,3.99,8.34,4,47.2,5,1,0,10,49.785,45.795,16.5876875,8.2476875,24.1035,20.1035,215.275125,168.075125,99.9375,94.9375,6.375,5.375,41.75,41.75,14.7425,4.7425
Sunday,5/8/2016,2016,5,5,10.66,1,40.4,12,0,1,11,45.795,40.795,65.2476875,54.5876875,65.1035,64.1035,512.075125,471.675125,94.9375,82.9375,5.375,5.375,41.75,40.75,55.7425,44.7425
Monday,5/9/2016,2016,5,5.67,6.363,5,29.2,3,0,2,5,40.795,35.125,54.5876875,48.2246875,64.1035,59.1035,471.675125,442.475125,82.9375,79.9375,5.375,5.375,40.75,38.75,44.7425,39.7425
Tuesday,5/10/2016,2016,5,7.33,3.67,7,28.25,4,0,2,3.5,35.125,27.795,48.2246875,44.5546875,59.1035,52.1035,442.475125,414.225125,79.9375,75.9375,5.375,5.375,38.75,36.75,39.7425,36.2425
Wednesday,5/11/2016,2016,5,5.33,4.66,4,23,13,0,3,2,27.795,22.465,44.5546875,39.8946875,52.1035,48.1035,414.225125,391.225125,75.9375,62.9375,5.375,5.375,36.75,33.75,36.2425,34.2425
Thursday,5/12/2016,2016,5,3.01,1.759,8,28.1,8,1,2,0,22.465,19.455,39.8946875,38.1356875,48.1035,40.1035,391.225125,363.125125,62.9375,54.9375,5.375,4.375,33.75,31.75,34.2425,34.2425
Friday,5/13/2016,2016,5,2.33,2.33,3,37,9,0,0,5,19.455,17.125,38.1356875,35.8056875,40.1035,37.1035,363.125125,326.125125,54.9375,45.9375,4.375,4.375,31.75,31.75,34.2425,29.2425
Saturday,5/14/2016,2016,5,5.34,4.67,5.55,31.25,13,0,21,1,17.125,11.785,35.8056875,31.1356875,37.1035,31.5535,326.125125,294.875125,45.9375,32.9375,4.375,4.375,31.75,10.75,29.2425,28.2425
Sunday,5/15/2016,2016,5,5.33,8.188,1.2,44.1,6,0,5,4,59.785,54.455,79.1356875,70.9476875,31.5535,30.3535,294.875125,250.775125,131.9375,125.9375,4.375,4.375,79.75,74.75,64.2425,60.2425
Monday,5/16/2016,2016,5,5,3.66,2,24,17,0,2,3,54.455,49.455,70.9476875,67.2876875,30.3535,28.3535,250.775125,226.775125,125.9375,108.9375,4.375,4.375,74.75,72.75,60.2425,57.2425
Tuesday,5/17/2016,2016,5,4,2.33,7.1,38.4,4,0,1,3.2,49.455,45.455,67.2876875,64.9576875,28.3535,21.2535,226.775125,188.375125,108.9375,104.9375,4.375,4.375,72.75,71.75,57.2425,54.0425
Wednesday,5/18/2016,2016,5,4,5.33,5.25,35,7,0,1,5,45.455,41.455,64.9576875,59.6276875,21.2535,16.0035,188.375125,153.375125,104.9375,97.9375,4.375,4.375,71.75,70.75,54.0425,49.0425
Thursday,5/19/2016,2016,5,6.34,5.66,2,30.5,10,0,16,3,41.455,35.115,59.6276875,53.9676875,16.0035,14.0035,153.375125,122.875125,97.9375,87.9375,4.375,4.375,70.75,54.75,49.0425,46.0425
Friday,5/20/2016,2016,5,3,1.132,3,14,14,2,9,5,35.115,32.115,53.9676875,52.8356875,14.0035,11.0035,122.875125,108.875125,87.9375,73.9375,4.375,2.375,54.75,45.75,46.0425,41.0425
Saturday,5/21/2016,2016,5,2,5.34,5.2,42.5,3,0,17,5,32.115,30.115,52.8356875,47.4956875,11.0035,5.8035,108.875125,66.375125,73.9375,70.9375,2.375,2.375,45.75,28.75,41.0425,36.0425
Sunday,5/22/2016,2016,5,4.34,4.51,9.05,55.6,6,1,0,10,89.115,84.775,47.4956875,42.9856875,61.8035,52.7535,438.375125,382.775125,191.9375,185.9375,9.375,8.375,28.75,28.75,90.0425,80.0425
Monday,5/23/2016,2016,5,5,2.363,5,54.7,19,0,7,4,84.775,79.775,42.9856875,40.6226875,52.7535,47.7535,382.775125,328.075125,185.9375,166.9375,8.375,8.375,28.75,21.75,80.0425,76.0425
Tuesday,5/24/2016,2016,5,12,3.167,4,32,3,0,3,2,79.775,67.775,40.6226875,37.4556875,47.7535,43.7535,328.075125,296.075125,166.9375,163.9375,8.375,8.375,21.75,18.75,76.0425,74.0425
Wednesday,5/25/2016,2016,5,8.34,1.67,6,25.05,16,1,0,1.2,67.775,59.435,37.4556875,35.7856875,43.7535,37.7535,296.075125,271.025125,163.9375,147.9375,8.375,7.375,18.75,18.75,74.0425,72.8425
Thursday,5/26/2016,2016,5,4.67,5.33,5.35,24.8,20,1,0,9,59.435,54.765,35.7856875,30.4556875,37.7535,32.4035,271.025125,246.225125,147.9375,127.9375,7.375,6.375,18.75,18.75,72.8425,63.8425
Friday,5/27/2016,2016,5,8.67,2.683,5.25,17,14,5,2,6,54.765,46.095,30.4556875,27.7726875,32.4035,27.1535,246.225125,229.225125,127.9375,113.9375,6.375,1.375,18.75,16.75,63.8425,57.8425
Saturday,5/28/2016,2016,5,12.33,0.363,3,43,4,0,4,9,46.095,33.765,27.7726875,27.4096875,27.1535,24.1535,229.225125,186.225125,113.9375,109.9375,1.375,1.375,16.75,12.75,57.8425,48.8425
Sunday,5/29/2016,2016,5,8.67,4.33,6,31.8,2,1,5,9.2,108.765,100.095,58.4096875,54.0796875,61.1535,55.1535,461.225125,429.425125,109.9375,107.9375,14.375,13.375,75.75,70.75,48.8425,39.6425
Monday,5/30/2016,2016,5,3.34,3.023,4.1,29.4,3,0,7,8,100.095,96.755,54.0796875,51.0566875,55.1535,51.0535,429.425125,400.025125,107.9375,104.9375,13.375,13.375,70.75,63.75,39.6425,31.6425
Tuesday,5/31/2016,2016,5,6,3.33,3.5,21,3,0,13,2,96.755,90.755,51.0566875,47.7266875,51.0535,47.5535,400.025125,379.025125,104.9375,101.9375,13.375,13.375,63.75,50.75,31.6425,29.6425
Wednesday,6/1/2016,2016,6,9,1.1,2,20,11,0,7,5,90.755,81.755,47.7266875,46.6266875,47.5535,45.5535,379.025125,359.025125,101.9375,90.9375,13.375,13.375,50.75,43.75,29.6425,24.6425
Thursday,6/2/2016,2016,6,2.33,6,1.05,21.25,18,3,4,1,81.755,79.425,46.6266875,40.6266875,45.5535,44.5035,359.025125,337.775125,90.9375,72.9375,13.375,10.375,43.75,39.75,24.6425,23.6425
Friday,6/3/2016,2016,6,7.33,3,4,18,8,0,1,7,79.425,72.095,40.6266875,37.6266875,44.5035,40.5035,337.775125,319.775125,72.9375,64.9375,10.375,10.375,39.75,38.75,23.6425,16.6425
Saturday,6/4/2016,2016,6,3.33,3.34,3.3,21,2,0,0,4,72.095,68.765,37.6266875,34.2866875,40.5035,37.2035,319.775125,298.775125,64.9375,62.9375,10.375,10.375,38.75,38.75,16.6425,12.6425
Sunday,6/5/2016,2016,6,10.34,3.066,4.3,23.4,5,0,3,4,68.765,58.425,34.2866875,31.2206875,37.2035,32.9035,298.775125,275.375125,137.9375,132.9375,10.375,10.375,38.75,35.75,63.6425,59.6425
Monday,6/6/2016,2016,6,5.33,2.802,4,26.2,5,0,6,6,58.425,53.095,31.2206875,28.4186875,32.9035,28.9035,275.375125,249.175125,132.9375,127.9375,10.375,10.375,35.75,29.75,59.6425,53.6425
Tuesday,6/7/2016,2016,6,6,3.363,4.1,28.5,13,0,10,3,53.095,47.095,28.4186875,25.0556875,28.9035,24.8035,249.175125,220.675125,127.9375,114.9375,10.375,10.375,29.75,19.75,53.6425,50.6425
Wednesday,6/8/2016,2016,6,8.66,1.33,5.5,45.062,10,0,5,6,47.095,38.435,25.0556875,23.7256875,24.8035,19.3035,220.675125,175.613125,114.9375,104.9375,10.375,10.375,19.75,14.75,50.6425,44.6425
Thursday,6/9/2016,2016,6,8.67,4.33,2,20.6,7,0,1,4.2,38.435,29.765,23.7256875,19.3956875,19.3035,17.3035,175.613125,155.013125,104.9375,97.9375,10.375,10.375,14.75,13.75,44.6425,40.4425
Friday,6/10/2016,2016,6,8.33,4,4,26,11,2,0,5,29.765,21.435,19.3956875,15.3956875,17.3035,13.3035,155.013125,129.013125,97.9375,86.9375,10.375,8.375,13.75,13.75,40.4425,35.4425
Saturday,6/11/2016,2016,6,10.66,2.825,2,35.6,4,1,10,8,21.435,10.775,15.3956875,12.5706875,13.3035,11.3035,129.013125,93.413125,86.9375,82.9375,8.375,7.375,13.75,3.75,35.4425,27.4425
Sunday,6/12/2016,2016,6,8.34,7.353,3.4,47,8,0,4,6,76.775,68.435,58.5706875,51.2176875,47.3035,43.9035,387.413125,340.413125,191.9375,183.9375,7.375,7.375,63.75,59.75,76.4425,70.4425
Monday,6/13/2016,2016,6,5.66,4.736,1,15,7,0,1,2,68.435,62.775,51.2176875,46.4816875,43.9035,42.9035,340.413125,325.413125,183.9375,176.9375,7.375,7.375,59.75,58.75,70.4425,68.4425
Tuesday,6/14/2016,2016,6,2.33,6,6.1,17.4,17,1,2,3,62.775,60.445,46.4816875,40.4816875,42.9035,36.8035,325.413125,308.013125,176.9375,159.9375,7.375,6.375,58.75,56.75,68.4425,65.4425
Wednesday,6/15/2016,2016,6,5,5.495,7,35,22,1,1,6,60.445,55.445,40.4816875,34.9866875,36.8035,29.8035,308.013125,273.013125,159.9375,137.9375,6.375,5.375,56.75,55.75,65.4425,59.4425
Thursday,6/16/2016,2016,6,4,0.33,1,20.5,4,0,22,3,55.445,51.445,34.9866875,34.6566875,29.8035,28.8035,273.013125,252.513125,137.9375,133.9375,5.375,5.375,55.75,33.75,59.4425,56.4425
Friday,6/17/2016,2016,6,3.34,3.67,3.65,20,8,0,4,4,51.445,48.105,34.6566875,30.9866875,28.8035,25.1535,252.513125,232.513125,133.9375,125.9375,5.375,5.375,33.75,29.75,56.4425,52.4425
Saturday,6/18/2016,2016,6,2,4.33,6.5,37.5,1,0,5,4,48.105,46.105,30.9866875,26.6566875,25.1535,18.6535,232.513125,195.013125,125.9375,124.9375,5.375,5.375,29.75,24.75,52.4425,48.4425
Sunday,6/19/2016,2016,6,6.34,6.01,3,40,1,0,7,15,46.105,39.765,68.6566875,62.6466875,67.6535,64.6535,500.013125,460.013125,124.9375,123.9375,5.375,5.375,75.75,68.75,107.4425,92.4425
Monday,6/20/2016,2016,6,7.34,3.34,6,22.388,5,0,8,6,39.765,32.425,62.6466875,59.3066875,64.6535,58.6535,460.013125,437.625125,123.9375,118.9375,5.375,5.375,68.75,60.75,92.4425,86.4425
Tuesday,6/21/2016,2016,6,7.33,4.66,9,23,15,0,7,5.6,32.425,25.095,59.3066875,54.6466875,58.6535,49.6535,437.625125,414.625125,118.9375,103.9375,5.375,5.375,60.75,53.75,86.4425,80.8425
Wednesday,6/22/2016,2016,6,2,6.067,2.3,42,6,0,2,2,25.095,23.095,54.6466875,48.5796875,49.6535,47.3535,414.625125,372.625125,103.9375,97.9375,5.375,5.375,53.75,51.75,80.8425,78.8425
Thursday,6/23/2016,2016,6,3,0.33,2.3,19,5,0,1,3,23.095,20.095,48.5796875,48.2496875,47.3535,45.0535,372.625125,353.625125,97.9375,92.9375,5.375,5.375,51.75,50.75,78.8425,75.8425
Friday,6/24/2016,2016,6,6,2.34,3.05,19,15,0,1,2,20.095,14.095,48.2496875,45.9096875,45.0535,42.0035,353.625125,334.625125,92.9375,77.9375,5.375,5.375,50.75,49.75,75.8425,73.8425
Saturday,6/25/2016,2016,6,5.68,4.99,8,20.25,5,0,1,4,14.095,8.415,45.9096875,40.9196875,42.0035,34.0035,334.625125,314.375125,77.9375,72.9375,5.375,5.375,49.75,48.75,73.8425,69.8425
Sunday,6/26/2016,2016,6,3,3.845,2,17.4,20,0,2,3,57.415,54.415,40.9196875,37.0746875,79.0035,77.0035,314.375125,296.975125,203.9375,183.9375,23.375,23.375,48.75,46.75,69.8425,66.8425
Monday,6/27/2016,2016,6,6,3.067,5.25,24,9,0,9,2,54.415,48.415,37.0746875,34.0076875,77.0035,71.7535,296.975125,272.975125,183.9375,174.9375,23.375,23.375,46.75,37.75,66.8425,64.8425
Tuesday,6/28/2016,2016,6,1.33,1.429,2.25,24,20,5,2,7,48.415,47.085,34.0076875,32.5786875,71.7535,69.5035,272.975125,248.975125,174.9375,154.9375,23.375,18.375,37.75,35.75,64.8425,57.8425
Wednesday,6/29/2016,2016,6,7,8.01,6.5,22,12.5,7,1,2,47.085,40.085,32.5786875,24.5686875,69.5035,63.0035,248.975125,226.975125,154.9375,142.4375,18.375,11.375,35.75,34.75,57.8425,55.8425
Thursday,6/30/2016,2016,6,4,3.803,3.2,9,6,0,0,2,40.085,36.085,24.5686875,20.7656875,63.0035,59.8035,226.975125,217.975125,142.4375,136.4375,11.375,11.375,34.75,34.75,55.8425,53.8425
Friday,7/1/2016,2016,7,4,2.01,5.5,24,1,0,20,7,36.085,32.085,20.7656875,18.7556875,59.8035,54.3035,217.975125,193.975125,136.4375,135.4375,11.375,11.375,34.75,14.75,53.8425,46.8425
Saturday,7/2/2016,2016,7,4.66,5.132,6,25.4,9,0,2,3,32.085,27.425,18.7556875,13.6236875,54.3035,48.3035,193.975125,168.575125,135.4375,126.4375,11.375,11.375,14.75,12.75,46.8425,43.8425
Sunday,7/3/2016,2016,7,6.67,4.165,5.4,18.6,4,0,11,5,96.425,89.755,60.6236875,56.4586875,48.3035,42.9035,396.575125,377.975125,126.4375,122.4375,11.375,11.375,84.75,73.75,43.8425,38.8425
Monday,7/4/2016,2016,7,8.34,5.34,1.15,14,8,3,7,6,89.755,81.415,56.4586875,51.1186875,42.9035,41.7535,377.975125,363.975125,122.4375,114.4375,11.375,8.375,73.75,66.75,38.8425,32.8425
Tuesday,7/5/2016,2016,7,6,4.01,2,19,10,0,0,3,81.415,75.415,51.1186875,47.1086875,41.7535,39.7535,363.975125,344.975125,114.4375,104.4375,8.375,8.375,66.75,66.75,32.8425,29.8425
Wednesday,7/6/2016,2016,7,9.33,5.726,5,30,5,0,8,4,75.415,66.085,47.1086875,41.3826875,39.7535,34.7535,344.975125,314.975125,104.4375,99.4375,8.375,8.375,66.75,58.75,29.8425,25.8425
Thursday,7/7/2016,2016,7,7.34,5.01,1,21,11,1,0,2,66.085,58.745,41.3826875,36.3726875,34.7535,33.7535,314.975125,293.975125,99.4375,88.4375,8.375,7.375,58.75,58.75,25.8425,23.8425
Friday,7/8/2016,2016,7,1.34,7.056,9.2,28,12,1,0,4.3,58.745,57.405,36.3726875,29.3166875,33.7535,24.5535,293.975125,265.975125,88.4375,76.4375,7.375,6.375,58.75,58.75,23.8425,19.5425
Saturday,7/9/2016,2016,7,3.33,6,4.5,11,12,0,0,2,57.405,54.075,29.3166875,23.3166875,24.5535,20.0535,265.975125,254.975125,76.4375,64.4375,6.375,6.375,58.75,58.75,19.5425,17.5425
Sunday,7/10/2016,2016,7,5.66,8.32,4.2,29,6,0,0,3,54.075,48.415,75.3166875,66.9966875,72.0535,67.8535,254.975125,225.975125,164.4375,158.4375,6.375,6.375,58.75,58.75,56.5425,53.5425
Monday,7/11/2016,2016,7,6.33,1.703,3,19.312,9,0,4,6.2,48.415,42.085,66.9966875,65.2936875,67.8535,64.8535,225.975125,206.663125,158.4375,149.4375,6.375,6.375,58.75,54.75,53.5425,47.3425
Tuesday,7/12/2016,2016,7,5.67,2.67,4,27.2,14,0,3,4,42.085,36.415,65.2936875,62.6236875,64.8535,60.8535,206.663125,179.463125,149.4375,135.4375,6.375,6.375,54.75,51.75,47.3425,43.3425
Wednesday,7/13/2016,2016,7,6.218333333,7,5,26.4,11,0,3,2,36.415,30.19666667,62.6236875,55.6236875,60.8535,55.8535,179.463125,153.063125,135.4375,124.4375,6.375,6.375,51.75,48.75,43.3425,41.3425
Thursday,7/14/2016,2016,7,2.34,2.363,5,12.4,3,0,3,5,30.19666667,27.85666667,55.6236875,53.2606875,55.8535,50.8535,153.063125,140.663125,124.4375,121.4375,6.375,6.375,48.75,45.75,41.3425,36.3425
Friday,7/15/2016,2016,7,3,8,2,15,4,0,0,3.33,27.85666667,24.85666667,53.2606875,45.2606875,50.8535,48.8535,140.663125,125.663125,121.4375,117.4375,6.375,6.375,45.75,45.75,36.3425,33.0125
Saturday,7/16/2016,2016,7,9.33,6.737,3,23.3,6,0,1,8,24.85666667,15.52666667,45.2606875,38.5236875,48.8535,45.8535,125.663125,102.363125,117.4375,111.4375,6.375,6.375,45.75,44.75,33.0125,25.0125
Sunday,7/17/2016,2016,7,9.01,4.01,3,26.65,3,0,7,4,91.52666667,82.51666667,38.5236875,34.5136875,45.8535,42.8535,329.363125,302.713125,111.4375,108.4375,6.375,6.375,44.75,37.75,67.0125,63.0125
Monday,7/18/2016,2016,7,6,2.497,8,25.4,2,0,3,4,82.51666667,76.51666667,34.5136875,32.0166875,42.8535,34.8535,302.713125,277.313125,108.4375,106.4375,6.375,6.375,37.75,34.75,63.0125,59.0125
Tuesday,7/19/2016,2016,7,7.34,1.33,6,19,5,0,1,2,76.51666667,69.17666667,32.0166875,30.6866875,34.8535,28.8535,277.313125,258.313125,106.4375,101.4375,6.375,6.375,34.75,33.75,59.0125,57.0125
Wednesday,7/20/2016,2016,7,10.33,4.66,7.1,25.2,6,0,5,5,69.17666667,58.84666667,30.6866875,26.0266875,28.8535,21.7535,258.313125,233.113125,101.4375,95.4375,6.375,6.375,33.75,28.75,57.0125,52.0125
Thursday,7/21/2016,2016,7,5.66,5.32,4.1,17,15,0,1,2,58.84666667,53.18666667,26.0266875,20.7066875,21.7535,17.6535,233.113125,216.113125,95.4375,80.4375,6.375,6.375,28.75,27.75,52.0125,50.0125
Friday,7/22/2016,2016,7,3.33,1.66,7,14,4,0,0,2,53.18666667,49.85666667,20.7066875,19.0466875,17.6535,10.6535,216.113125,202.113125,80.4375,76.4375,6.375,6.375,27.75,27.75,50.0125,48.0125
Saturday,7/23/2016,2016,7,4.66,5.49,2.1,15,6,0,0,5,49.85666667,45.19666667,19.0466875,13.5566875,10.6535,8.5535,202.113125,187.113125,76.4375,70.4375,6.375,6.375,27.75,27.75,48.0125,43.0125
Sunday,7/24/2016,2016,7,2.33,4.99,4,32,4,0,0,2,111.1966667,108.8666667,55.5566875,50.5666875,51.5535,47.5535,187.113125,155.113125,152.4375,148.4375,6.375,6.375,27.75,27.75,43.0125,41.0125
